iter	Passed	Remaining
415	2641	3707
416	2645	3699
417	2650	3690
418	2656	3683
419	2660	3674
420	2665	3665
421	2671	3658
422	2675	3650
423	2680	3641
424	2686	3634
425	2690	3625
426	2695	3617
427	2701	3610
428	2706	3602
429	2711	3593
430	2717	3587
431	2721	3578
432	2726	3570
433	2732	3563
434	2736	3554
435	2741	3545
436	2746	3538
437	2751	3530
438	2755	3521
439	2760	3513
440	2765	3505
441	2770	3497
442	2775	3489
443	2781	3482
444	2786	3474
445	2790	3466
446	2797	3460
447	2805	3456
448	2811	3449
449	2816	3441
450	2821	3434
451	2827	3427
452	2832	3419
453	2836	3411
454	2842	3404
455	2846	3396
456	2851	3388
457	2856	3380
458	2861	3372
459	2866	3364
460	2871	3357
461	2876	3349
462	2881	3341
463	2886	3334
464	2891	3326
465	2896	3318
466	2900	3310
467	2907	3304
468	2912	3297
469	2917	3290
470	2922	3282
471	2927	3274
472	2932	3266
473	2937	3259
474	2942	3251
475	2946	3243
476	2953	3237
477	2957	3229
478	2962	3222
479	2968	3215
480	2973	3208
481	2978	3200
482	2983	3193
483	2988	3186
484	2993	3178
485	2999	3172
486	3004	3164
487	3008	3156
488	3014	3150
489	3019	3142
490	3026	3137
491	3032	3131
492	3052	3138
493	3061	3135
494	3066	3128
495	3071	3120
496	3077	3114
497	3082	3106
498	3088	3100
499	3095	3095
500	3100	3088
501	3107	3083
502	3113	3076
503	3118	3068
504	3124	3062
505	3129	3055
506	3134	3048
507	3140	3041
508	3146	3035
509	3151	3027
510	3157	3021
511	3161	3013
512	3167	3006
513	3173	3000
514	3178	2993
515	3184	2986
516	3189	2980
517	3194	2972
518	3200	2966
519	3205	2958
520	3210	2951
521	3216	2945
522	3221	2937
523	3225	2930
524	3230	2923
525	3236	2916
526	3240	2908
527	3245	2901
528	3251	2894
529	3256	2887
530	3262	2881
531	3268	2874
532	3272	2867
533	3277	2860
534	3282	2853
535	3287	2845
536	3292	2839
537	3298	2832
538	3303	2825
539	3308	2818
540	3314	2811
541	3318	2804
542	3324	2798
543	3330	2791
544	3334	2783
545	3340	2777
546	3345	2770
547	3350	2763
548	3357	2758
549	3362	2751
550	3368	2744
551	3376	2740
552	3382	2733
553	3387	2727
554	3393	2721
555	3400	2715
556	3406	2709
557	3413	2703
558	3420	2698
559	3427	2693
560	3433	2687
561	3439	2680
562	3446	2674
563	3453	2669
564	3458	2662
565	3463	2655
566	3468	2648
567	3472	2641
568	3477	2633
569	3482	2627
570	3487	2620
571	3492	2613
572	3499	2607
573	3504	2600
574	3510	2594
575	3516	2588
576	3522	2582
577	3529	2576
578	3535	2570
579	3541	2564
580	3547	2558
581	3553	2552
582	3560	2546
583	3565	2539
584	3570	2533
585	3577	2527
586	3583	2520
587	3589	2515
588	3594	2508
589	3599	2501
590	3605	2495
591	3610	2488
592	3615	2481
593	3622	2476
594	3627	2469
595	3633	2462
596	3639	2456
597	3645	2450
598	3651	2444
599	3656	2437
600	3663	2431
601	3669	2426
602	3674	2419
603	3680	2413
604	3686	2407
605	3692	2400
606	3698	2394
607	3703	2387
608	3707	2380
609	3713	2374
610	3719	2367
611	3724	2361
612	3730	2355
613	3735	2348
614	3740	2341
615	3746	2335
616	3751	2328
617	3757	2322
618	3763	2316
619	3768	2309
620	3773	2302
621	3780	2297
622	3785	2290
623	3791	2284
624	3797	2278
625	3802	2271
626	3808	2265
627	3813	2258
628	3818	2252
629	3824	2246
630	3829	2239
631	3834	2232
632	3841	2227
633	3846	2220
634	3851	2213
635	3858	2208
636	3863	2201
637	3869	2195
638	3876	2189
639	3881	2183
640	3888	2177
641	3893	2171
642	3898	2164
643	3905	2158
644	3910	2152
645	3915	2145
646	3921	2139
647	3927	2133
648	3933	2127
649	3938	2120
650	3943	2113
651	3949	2107
652	3954	2101
653	3959	2094
654	3965	2088
655	3970	2082
656	3975	2075
657	3981	2069
658	3986	2063
659	3992	2056
660	3999	2051
661	4005	2044
662	4010	2038
663	4016	2032
664	4021	2026
665	4027	2019
666	4034	2014
667	4040	2007
668	4047	2002
669	4053	1996
670	4059	1990
671	4066	1984
672	4072	1978
673	4080	1973
674	4086	1967
675	4093	1962
676	4103	1957
677	4110	1952
678	4117	1946
679	4123	1940
680	4128	1934
681	4135	1928
682	4142	1922
683	4148	1916
684	4154	1910
685	4160	1904
686	4166	1898
687	4174	1893
688	4181	1887
689	4187	1881
690	4193	1875
691	4200	1869
692	4207	1863
693	4213	1858
694	4221	1852
695	4227	1846
696	4234	1840
697	4241	1834
698	4247	1829
699	4254	1823
700	4261	1817
701	4268	1811
702	4274	1805
703	4281	1800
704	4287	1794
705	4294	1788
706	4300	1782
707	4305	1775
708	4312	1769
709	4319	1764
710	4325	1758
711	4332	1752
